height,time,type,date
-0.396234865926945,04:31:00,low,2021-06-05
-0.3338927916542533,16:28:00,low,2021-06-05
-0.452886554758416,05:10:00,low,2021-06-06
-0.3756485665807887,17:09:00,low,2021-06-06
-0.5043024351257566,05:43:00,low,2021-06-07
-0.4138776225629039,17:44:00,low,2021-06-07
-0.5485418613565678,06:14:00,low,2021-06-08
-0.4450651952872029,18:17:00,low,2021-06-08
-0.5828788324653587,06:43:00,low,2021-06-09
-0.4664808878806987,18:50:00,low,2021-06-09
-0.6038217043585554,07:13:00,low,2021-06-10
-0.4761276265606162,19:23:00,low,2021-06-10
-0.6083285279333528,07:44:00,low,2021-06-11
-0.4730846543046485,19:57:00,low,2021-06-11
-0.5949359536600869,08:17:00,low,2021-06-12
-0.4576771753485457,20:33:00,low,2021-06-12
-0.5642334728987601,08:52:00,low,2021-06-13
-0.4315512154608868,21:13:00,low,2021-06-13
-0.5188304438077439,09:30:00,low,2021-06-14
-0.3982141994998069,21:59:00,low,2021-06-14
-0.4634732200413842,10:14:00,low,2021-06-15
-0.3647772687856906,22:53:00,low,2021-06-15
-0.4062091398416149,11:07:00,low,2021-06-16
-0.3447471585262183,00:00:00,low,2021-06-17
-0.3608220934427334,12:11:00,low,2021-06-17
-0.3567953958398921,01:16:00,low,2021-06-18
-0.3461175251485586,13:25:00,low,2021-06-18
-0.4104174167865803,02:32:00,low,2021-06-19
-0.3729795387709964,14:40:00,low,2021-06-19
-0.4943592699301226,03:38:00,low,2021-06-20
-0.4329039621900489,15:46:00,low,2021-06-20
-0.5878914474478908,04:36:00,low,2021-06-21
-0.5070763877785742,16:45:00,low,2021-06-21
-0.672637645016463,05:27:00,low,2021-06-22
-0.5773075704543509,17:38:00,low,2021-06-22
-0.7352118110561412,06:14:00,low,2021-06-23
-0.629436641720777,18:28:00,low,2021-06-23
-0.7671762133397498,06:59:00,low,2021-06-24
-0.6540697049200881,19:16:00,low,2021-06-24
-0.7649347073643625,07:43:00,low,2021-06-25
-0.6469532971963089,20:02:00,low,2021-06-25
-0.729516050764051,08:25:00,low,2021-06-26
-0.609043192812526,20:48:00,low,2021-06-26
-0.6659614043175979,09:07:00,low,2021-06-27
-0.5460536369261015,21:34:00,low,2021-06-27
-0.5822527007494297,09:48:00,low,2021-06-28
-0.4674982809606645,22:22:00,low,2021-06-28
-0.4879602217791152,10:30:00,low,2021-06-29
-0.3855386910745055,23:14:00,low,2021-06-29
-0.3930489525272354,11:15:00,low,2021-06-30
-0.3141879049028872,00:11:00,low,2021-07-01
-0.3076281913850902,12:06:00,low,2021-07-01
-0.2687631382998336,01:19:00,low,2021-07-02
-0.2434089403088278,13:09:00,low,2021-07-02
-0.2616349756942821,02:32:00,low,2021-07-03
-0.2137049438289503,14:23:00,low,2021-07-03
-0.2915694019149853,03:39:00,low,2021-07-04
-0.2228712149616416,15:34:00,low,2021-07-04
-0.3447352247293984,04:33:00,low,2021-07-05
-0.2598314013235073,16:33:00,low,2021-07-05
-0.4078910303538506,05:16:00,low,2021-07-06
-0.3104681719123738,17:21:00,low,2021-07-06
-0.4720317108092276,05:54:00,low,2021-07-07
-0.3649524809779462,18:02:00,low,2021-07-07
-0.5304831890237482,06:28:00,low,2021-07-08
-0.4170025223622144,18:40:00,low,2021-07-08
-0.5780305442904822,07:02:00,low,2021-07-09
-0.462381813750259,19:15:00,low,2021-07-09
-0.6110153650003883,07:34:00,low,2021-07-10
-0.4980217636248629,19:51:00,low,2021-07-10
-0.6273716390853389,08:07:00,low,2021-07-11
-0.5214451828123365,20:27:00,low,2021-07-11
-0.6262407055354277,08:41:00,low,2021-07-12
-0.5304654794162411,21:05:00,low,2021-07-12
-0.6074105519192956,09:16:00,low,2021-07-13
-0.5234621539099573,21:45:00,low,2021-07-13
-0.5711397387953533,09:55:00,low,2021-07-14
-0.5005867162623281,22:31:00,low,2021-07-14
-0.5189561152727852,10:38:00,low,2021-07-15
-0.466137573480578,23:24:00,low,2021-07-15
-0.4559512442092913,11:30:00,low,2021-07-16
-0.431978204246809,00:27:00,low,2021-07-17
-0.3949981010590879,12:34:00,low,2021-07-17
-0.4192224831121908,01:42:00,low,2021-07-18
-0.3603631484930467,13:52:00,low,2021-07-18
-0.4477105185641444,03:02:00,low,2021-07-19
-0.3758707780677962,15:16:00,low,2021-07-19
-0.514494137732373,04:15:00,low,2021-07-20
-0.4375659403618987,16:30:00,low,2021-07-20
-0.5966675976419142,05:16:00,low,2021-07-21
-0.5186920146582857,17:33:00,low,2021-07-21
-0.6712192478026907,06:08:00,low,2021-07-22
-0.5931643192484432,18:27:00,low,2021-07-22
-0.7226808838071936,06:54:00,low,2021-07-23
-0.6435405308020141,19:15:00,low,2021-07-23
-0.7429814475314283,07:36:00,low,2021-07-24
-0.6609042736182138,19:59:00,low,2021-07-24
-0.7302793468804253,08:15:00,low,2021-07-25
-0.6437067630690133,20:40:00,low,2021-07-25
-0.6876953229633229,08:51:00,low,2021-07-26
-0.5963218820545158,21:19:00,low,2021-07-26
-0.621689889643145,09:25:00,low,2021-07-27
-0.5270884778555737,21:56:00,low,2021-07-27
-0.5400665922780276,09:57:00,low,2021-07-28
-0.4459682658681055,22:32:00,low,2021-07-28
-0.4499695952691542,10:28:00,low,2021-07-29
-0.3624647261287148,23:11:00,low,2021-07-29
-0.3566501042241621,11:02:00,low,2021-07-30
-0.2851242204220989,23:55:00,low,2021-07-30
-0.2642327887171224,11:42:00,low,2021-07-31
-0.2251052126940077,00:56:00,low,2021-08-01
-0.1812027278300974,12:43:00,low,2021-08-01
-0.2053990434413243,02:25:00,low,2021-08-02
-0.1372951556248597,14:24:00,low,2021-08-02
-0.2460555879533509,03:55:00,low,2021-08-03
-0.1673610126722294,16:05:00,low,2021-08-03
-0.3241343320370026,04:57:00,low,2021-08-04
-0.2428209139417674,17:10:00,low,2021-08-04
-0.4125133295129531,05:41:00,low,2021-08-05
-0.3322552471233798,17:55:00,low,2021-08-05
-0.4978278039089819,06:17:00,low,2021-08-06
-0.4220387201203521,18:32:00,low,2021-08-06
-0.5729034333039976,06:49:00,low,2021-08-07
-0.5048440683083834,19:06:00,low,2021-08-07
-0.6332981512055946,07:20:00,low,2021-08-08
-0.575028349657019,19:39:00,low,2021-08-08
-0.675828612703863,07:51:00,low,2021-08-09
-0.6271022221581342,20:12:00,low,2021-08-09
-0.6975121902732784,08:22:00,low,2021-08-10
-0.6554344210049942,20:46:00,low,2021-08-10
-0.695010967202314,08:55:00,low,2021-08-11
-0.654946587994143,21:23:00,low,2021-08-11
-0.6649882764670462,09:30:00,low,2021-08-12
-0.62276176986593,22:03:00,low,2021-08-12
-0.6055800810932692,10:09:00,low,2021-08-13
-0.5607619173952458,22:50:00,low,2021-08-13
-0.519095853250867,10:55:00,low,2021-08-14
-0.4795363571523199,23:46:00,low,2021-08-14
-0.4170213084655518,11:54:00,low,2021-08-15
-0.4054788640681415,01:00:00,low,2021-08-16
-0.3313161136142664,13:16:00,low,2021-08-16
-0.3848898853517052,02:34:00,low,2021-08-17
-0.3199962172186437,15:00:00,low,2021-08-17
-0.4408995253487223,04:03:00,low,2021-08-18
-0.3957453544355749,16:29:00,low,2021-08-18
-0.5357514231478188,05:10:00,low,2021-08-19
-0.5043447947435911,17:34:00,low,2021-08-19
-0.6279383247519891,06:02:00,low,2021-08-20
-0.6023080929457606,18:26:00,low,2021-08-20
-0.6954360545664828,06:45:00,low,2021-08-21
-0.6684409495091177,19:09:00,low,2021-08-21
-0.7292032519937277,07:23:00,low,2021-08-22
-0.6952447620720701,19:47:00,low,2021-08-22
-0.7283380085069115,07:57:00,low,2021-08-23
-0.6841841489688465,20:21:00,low,2021-08-23
