,height,time,type,date,datetime,moonphase
276,-0.5943804727783375,23:52:00,low,2021-04-01,2021-04-01,0.63
277,-0.5640765537944934,12:28:00,low,2021-04-02,2021-04-02,0.66
278,-0.4569218277379145,00:44:00,low,2021-04-02,2021-04-02,0.66
279,-0.4228951153014892,13:28:00,low,2021-04-03,2021-04-03,0.7
280,-0.3203530438974525,01:57:00,low,2021-04-03,2021-04-03,0.7
281,-0.3130417431393127,14:58:00,low,2021-04-04,2021-04-04,0.75
282,-0.2552210210548845,03:55:00,low,2021-04-05,2021-04-05,0.77
283,-0.3029085537242568,16:52:00,low,2021-04-05,2021-04-05,0.77
284,-0.3167367226958472,05:44:00,low,2021-04-06,2021-04-06,0.8
285,-0.3760308815954045,18:13:00,low,2021-04-06,2021-04-06,0.8
286,-0.4267530412628399,06:51:00,low,2021-04-07,2021-04-07,0.84
287,-0.4638915245074174,19:07:00,low,2021-04-07,2021-04-07,0.84
288,-0.5262843375268105,07:37:00,low,2021-04-08,2021-04-08,0.87
289,-0.5365251981460525,19:47:00,low,2021-04-08,2021-04-08,0.87
290,-0.5981753749938267,08:14:00,low,2021-04-09,2021-04-09,0.91
291,-0.5861495353103167,20:20:00,low,2021-04-09,2021-04-09,0.91
292,-0.6412808397045268,08:45:00,low,2021-04-10,2021-04-10,0.94
293,-0.6132907688918179,20:49:00,low,2021-04-10,2021-04-10,0.94
294,-0.6604069136654913,09:12:00,low,2021-04-11,2021-04-11,0.98
295,-0.620892725894252,21:14:00,low,2021-04-11,2021-04-11,0.98
296,-0.6610709579601934,09:37:00,low,2021-04-12,2021-04-12,0.0
297,-0.6111372188323679,21:39:00,low,2021-04-12,2021-04-12,0.0
298,-0.6463345494746947,10:00:00,low,2021-04-13,2021-04-13,0.04
299,-0.5842580590881772,22:03:00,low,2021-04-13,2021-04-13,0.04
300,-0.6159835365301872,10:25:00,low,2021-04-14,2021-04-14,0.08
301,-0.5391949975190276,22:28:00,low,2021-04-14,2021-04-14,0.08
302,-0.5679093184016804,10:51:00,low,2021-04-15,2021-04-15,0.11
303,-0.4751842452037301,22:55:00,low,2021-04-15,2021-04-15,0.11
304,-0.5004700027073462,11:19:00,low,2021-04-16,2021-04-16,0.14
305,-0.393183356740679,23:26:00,low,2021-04-16,2021-04-16,0.14
306,-0.4146248568344786,11:53:00,low,2021-04-17,2021-04-17,0.18
307,-0.2970324232685117,00:04:00,low,2021-04-17,2021-04-17,0.18
308,-0.3162212242527406,12:37:00,low,2021-04-18,2021-04-18,0.21
309,-0.1974271569062922,01:01:00,low,2021-04-18,2021-04-18,0.21
310,-0.2243516643655709,13:51:00,low,2021-04-19,2021-04-19,0.24
311,-0.1385527589211803,02:59:00,low,2021-04-20,2021-04-20,0.25
312,-0.2016893808049144,15:57:00,low,2021-04-20,2021-04-20,0.25
313,-0.2057786162968344,05:05:00,low,2021-04-21,2021-04-21,0.31
314,-0.276906207132207,17:28:00,low,2021-04-21,2021-04-21,0.31
315,-0.3400496544416029,06:11:00,low,2021-04-22,2021-04-22,0.34
316,-0.388206761223772,18:23:00,low,2021-04-22,2021-04-22,0.34
317,-0.486337162998014,06:56:00,low,2021-04-23,2021-04-23,0.38
318,-0.5050476339782521,19:05:00,low,2021-04-23,2021-04-23,0.38
319,-0.6241357772514443,07:34:00,low,2021-04-24,2021-04-24,0.41
320,-0.6126692059253925,19:43:00,low,2021-04-24,2021-04-24,0.41
321,-0.7391623963755233,08:11:00,low,2021-04-25,2021-04-25,0.44
322,-0.699086716471269,20:20:00,low,2021-04-25,2021-04-25,0.44
323,-0.8192364937957388,08:47:00,low,2021-04-26,2021-04-26,0.48
324,-0.753433180381256,20:56:00,low,2021-04-26,2021-04-26,0.48
325,-0.8550627109775696,09:24:00,low,2021-04-27,2021-04-27,0.5
326,-0.7671516754409979,21:34:00,low,2021-04-27,2021-04-27,0.5
327,-0.8418193508148615,10:02:00,low,2021-04-28,2021-04-28,0.54
328,-0.7358185713556673,22:13:00,low,2021-04-28,2021-04-28,0.54
329,-0.7804422887706689,10:42:00,low,2021-04-29,2021-04-29,0.58
330,-0.6607551644513129,22:55:00,low,2021-04-29,2021-04-29,0.58
331,-0.6782211101091882,11:24:00,low,2021-04-30,2021-04-30,0.61
332,-0.5502371434656873,23:41:00,low,2021-04-30,2021-04-30,0.61
333,-0.5489289908995639,12:12:00,low,2021-05-01,2021-05-01,0.65
334,-0.4212252069024455,00:37:00,low,2021-05-01,2021-05-01,0.65
335,-0.4140033598021404,13:11:00,low,2021-05-02,2021-05-02,0.68
336,-0.3058053069161912,01:55:00,low,2021-05-02,2021-05-02,0.68
337,-0.3089591783047478,14:34:00,low,2021-05-03,2021-05-03,0.75
338,-0.2625609115384272,03:44:00,low,2021-05-04,2021-05-04,0.75
339,-0.2812796480669321,16:16:00,low,2021-05-04,2021-05-04,0.75
340,-0.3148081080078761,05:21:00,low,2021-05-05,2021-05-05,0.78
341,-0.3237424754137459,17:36:00,low,2021-05-05,2021-05-05,0.78
342,-0.4018879862216305,06:24:00,low,2021-05-06,2021-05-06,0.82
343,-0.3872304337552347,18:31:00,low,2021-05-06,2021-05-06,0.82
344,-0.4822244705686901,07:09:00,low,2021-05-07,2021-05-07,0.85
345,-0.4456900477412115,19:12:00,low,2021-05-07,2021-05-07,0.85
346,-0.5444620349033195,07:45:00,low,2021-05-08,2021-05-08,0.88
